Unnamed: 0,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
755,4.4,4.0,128.0,6.53,48,2.0,4020,16490
395,4.0,6.0,32.0,4.77,48,12.0,3800,980
481,3.6,6.0,32.0,4.5,48,9.78483245149912,3000,898
596,4.1,6.0,32.0,4.54,48,5.0,3000,1699
278,4.3,4.0,64.0,7.0,48,5.0,6000,9999
649,4.2,4.0,4.0,4.5,64,15.0,3500,1349
116,4.1,6.0,64.0,4.54,48,9.78483245149912,3700,1250
228,4.0,6.0,32.0,4.5,38,32.0,1750,999
587,4.5,8.0,128.0,6.5,64,13.0,3800,31999
440,4.1,3.0,32.0,5.7,38,1.0,2900,9990
652,4.1,6.0,32.0,3.7,64,15.0,3500,945
274,4.5,6.0,128.0,6.5,64,8.0,5000,17499
318,4.6,8.0,256.0,6.55,48,1.0,3000,38050
586,4.6,12.0,25.0,6.5,64,13.0,3800,35999
144,3.4,1.0,4.0,4.7,38,2.0,2800,13298
598,3.8,6.0,32.0,4.7,64,9.78483245149912,3400,3999
527,4.0,6.0,32.0,4.5,48,13.0,3000,847
759,4.3,2.0,16.0,5.5,8,9.78483245149912,4200,5498
606,4.1,6.0,32.0,4.4,48,9.78483245149912,2500,935
369,3.6,6.0,64.0,4.5,48,9.78483245149912,3000,649
268,4.4,6.0,128.0,6.53,64,8.0,4700,16999
588,4.5,8.0,128.0,6.5,64,13.0,3800,31999
307,3.7,6.0,32.0,2.0,64,9.78483245149912,1550,1699
310,3.7,6.0,32.0,4.5,25,8.0,1080,649
666,4.5,4.0,64.0,5.6,35,20.0,3000,30999
46,4.3,1.0,16.0,4.5,48,9.78483245149912,3000,798
349,4.4,8.0,256.0,6.44,48,13.0,4440,37990
371,4.4,8.0,128.0,6.7,64,12.0,4700,32999
543,4.2,4.0,4.0,4.5,64,13.0,3500,1575
261,4.1,6.0,32.0,4.77,48,5.0,2500,1225
195,4.1,6.0,32.0,4.5,48,20.0,3000,850
835,3.5,6.0,32.0,4.5,64,15.0,1050,799
830,3.6,6.0,32.0,4.5,48,9.78483245149912,3000,898
